City,Latitude,Longitute,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Ola,59.5833,151.2833,285.09,98,100,2.59,RU,1627309279
Paphos,34.7667,32.4167,305.5,74,20,8.75,CY,1627309384
Saint-Joseph,-21.3667,55.6167,294.36,75,25,5.5,RE,1627309384
Avarua,-21.2078,-159.775,297.18,88,40,6.17,CK,1627309385
São Miguel do Araguaia,-13.275,-50.1628,303.86,28,28,4.72,BR,1627309385
Nanticoke,41.2054,-76.0049,300.71,78,100,1.34,US,1627309123
Pevek,69.7008,170.3133,274.83,90,75,5.62,RU,1627309385
Torbay,47.6666,-52.7314,291.35,90,75,2.57,CA,1627309386
Butaritari,3.0707,172.7902,300.4,77,100,3.74,KI,1627309340
Esperance,-33.8667,121.9,285.06,90,100,9.84,AU,1627309388
Pijijiapan,15.7011,-93.23,301.42,69,59,1.22,MX,1627309389
Yellowknife,62.456,-114.3525,288.87,69,20,4.12,CA,1627309389
East London,-33.0153,27.9116,293.67,45,0,4.12,ZA,1627309389
Mataura,-46.1927,168.8643,281.19,96,100,2.02,NZ,1627309390
Buraidah,26.326,43.975,318.4,8,20,9.71,SA,1627309390
Bredasdorp,-34.5322,20.0403,297.77,23,98,5.66,ZA,1627309391
Sur,22.5667,59.5289,307.71,54,37,1.48,OM,1627309343
Castro,-24.7911,-50.0119,294.33,39,1,4.04,BR,1627309391
Souillac,-20.5167,57.5167,293.36,88,75,3.09,MU,1627309392
Norman Wells,65.282,-126.8329,286.17,76,75,4.63,CA,1627309392
Saint Paul Harbor,57.79,-152.4072,282.41,94,15,1.46,US,1627309346
Hobart,-42.8794,147.3294,286.99,68,75,3.13,AU,1627309318
Olivehurst,39.0955,-121.5522,302.0,47,1,3.09,US,1627309394
Tías,28.9611,-13.645,297.97,69,40,9.77,ES,1627309394
Port-de-Bouc,43.4,4.9833,306.35,30,0,4.63,FR,1627309395
San Patricio,28.017,-97.5169,303.09,83,100,2.19,US,1627309395
Camacha,33.0833,-16.3333,299.56,73,40,5.14,PT,1627309395
Rawson,-43.3002,-65.1023,278.55,49,11,12.33,AR,1627309396
Mahébourg,-20.4081,57.7,293.31,88,75,3.09,MU,1627309300
Nyurba,63.2842,118.3319,295.91,59,23,1.37,RU,1627309397
Hithadhoo,-0.6,73.0833,300.74,77,85,4.73,MV,1627309399
Baisha,26.5222,110.9311,299.34,74,10,1.16,CN,1627309399
Shimanovsk,52.0,127.7,293.33,80,100,1.7,RU,1627309401
Tuktoyaktuk,69.4541,-133.0374,280.15,87,90,3.09,CA,1627309297
Atuona,-9.8,-139.0333,298.53,70,78,10.22,PF,1627309359
Chauk,20.8833,94.8167,299.14,83,99,8.2,MM,1627309401
Sarnia,42.9787,-82.4041,300.9,58,1,0.89,CA,1627309358
Bethel,41.3712,-73.414,301.18,74,1,0.45,US,1627309403
Melfi,40.9965,15.6514,308.46,10,99,4.67,IT,1627309404
Udachny,66.4167,112.4,296.34,55,5,1.6,RU,1627309404
Kavieng,-2.5744,150.7967,300.63,73,8,1.81,PG,1627309399
Mossendjo,-2.9506,12.7261,305.09,32,99,2.68,CG,1627309406
Seoul,37.5683,126.9778,301.57,65,0,1.54,KR,1627309201
Olafsvik,64.8945,-23.7142,282.67,88,100,7.31,IS,1627309407
Pacific Grove,36.6177,-121.9166,288.87,92,90,0.89,US,1627309320
Saint-François,46.4154,3.9054,298.53,52,75,4.12,FR,1627309408
Dolores,-36.3132,-57.6792,283.03,56,100,4.68,AR,1627309408
Puerto Ayora,-0.7393,-90.3518,296.13,88,94,2.68,EC,1627309410
La Ronge,55.1001,-105.2842,287.29,94,75,1.54,CA,1627309410
Saint-Philippe,-21.3585,55.7679,294.92,77,42,4.8,RE,1627309316
Necoclí,8.4234,-76.786,299.21,85,67,3.5,CO,1627309410
Smithers,54.7804,-127.1743,282.33,100,90,0.0,CA,1627309334
Saskylakh,71.9167,114.0833,285.17,73,48,3.44,RU,1627309305
Manggar,-2.8833,108.2667,300.4,71,0,5.31,ID,1627309413
Belaya Gora,68.5333,146.4167,282.8,53,100,4.01,RU,1627309413
Longyearbyen,78.2186,15.6401,280.06,81,40,7.2,SJ,1627309260
Necochea,-38.5473,-58.7368,282.61,52,5,10.13,AR,1627309413
Nome,64.5011,-165.4064,282.19,93,90,4.12,US,1627309414
Marion,39.7684,-86.1555,301.16,66,1,1.54,US,1627309386
Gazli,40.1333,63.45,313.87,16,0,10.26,UZ,1627309414
Cabo San Lucas,22.8909,-109.9124,303.04,65,4,3.52,MX,1627309415
Hwange,-18.3693,26.5019,295.73,22,1,2.77,ZW,1627309416
Port Alfred,-33.5906,26.891,295.23,35,100,2.18,ZA,1627309307
Faanui,-16.4833,-151.75,298.64,76,61,5.22,PF,1627309417
Marsh Harbour,26.5412,-77.0636,301.39,73,13,4.08,BS,1627309417
Cape Town,-33.9258,18.4232,298.38,24,0,5.14,ZA,1627309230
Hermanus,-34.4187,19.2345,292.12,60,55,0.48,ZA,1627309418
Pisco,-13.7,-76.2167,292.18,68,0,1.54,PE,1627309419
Zhengjiatun,43.5064,123.5064,299.13,63,17,5.36,CN,1627309419
Kempele,64.9131,25.5034,298.16,57,0,3.6,FI,1627309419
Assiut,27.181,31.1837,310.66,16,0,5.36,EG,1627309420
Soyo,-6.1349,12.3689,300.18,73,43,4.72,AO,1627309421
Agadez,19.75,10.25,312.42,13,90,1.51,NE,1627309421
Kenai,60.5544,-151.2583,283.76,93,1,1.54,US,1627309423
Ciudad del Carmen,18.6333,-91.8333,302.17,74,40,2.06,MX,1627309163
Ribeira Grande,38.5167,-28.7,298.37,69,20,5.14,PT,1627309424
Forsytheganj,52.6333,29.7333,296.5,56,100,2.07,BY,1627309425
Āsosa,10.0667,34.5333,288.64,96,100,1.57,ET,1627309426
Palmer,42.1584,-72.3287,301.1,69,40,0.89,US,1627309426
Bandarbeyla,9.4942,50.8122,302.09,55,84,12.45,SO,1627309427
Tuatapere,-46.1333,167.6833,281.38,86,98,2.23,NZ,1627309329
Takaungu,-3.6837,39.8566,300.42,61,42,10.21,KE,1627309427
Porto Santo,33.072,-16.3415,301.1,73,40,5.14,PT,1627309429
Talnakh,69.4865,88.3972,293.76,71,98,2.23,RU,1627309429
Bilibino,68.0546,166.4372,277.71,83,44,3.15,RU,1627309430
Acaraú,-2.8856,-40.12,304.01,49,60,7.19,BR,1627309431
Sola,-13.8833,167.55,299.76,78,40,7.97,VU,1627309431
Dikson,73.5069,80.5464,279.92,85,97,0.69,RU,1627309300
Khandyga,62.6667,135.6,289.59,71,10,1.95,RU,1627309432
Ulverstone,-41.15,146.1667,285.53,84,100,0.45,AU,1627309432
Airai,-8.9266,125.4092,286.79,88,29,0.96,TL,1627309433
Cayenne,4.9333,-52.3333,304.17,78,75,1.79,GF,1627309433
Redcliffe,-27.2307,153.0973,287.22,67,0,2.57,AU,1627309329
Riyadh,24.6877,46.7219,318.23,8,24,9.41,SA,1627309434
Mbalmayo,3.5167,11.5,300.33,51,95,2.97,CM,1627309435
Hokitika,-42.7167,170.9667,283.1,86,100,9.59,NZ,1627309435
Nanortalik,60.1432,-45.2371,283.5,65,85,4.59,GL,1627309437
Poum,-20.2333,164.0167,294.54,70,60,8.0,NC,1627309437
Codogno,45.1619,9.7022,302.94,38,73,1.94,IT,1627309437
Río Gallegos,-51.6226,-69.2181,275.18,93,75,7.2,AR,1627309438
Ca Mau,9.1769,105.15,299.04,90,80,2.46,VN,1627309439
Polyarnyye Zori,67.3661,32.4981,287.33,50,51,4.45,RU,1627309439
Molokovo,58.1661,36.7628,298.19,35,78,2.98,RU,1627309214
Sharjah city,25.3573,55.4033,313.85,40,0,4.12,AE,1627309336
Kaitangata,-46.2817,169.8464,283.67,70,100,4.91,NZ,1627309440
Lima,-12.0432,-77.0282,290.87,83,90,3.6,PE,1627309260
Sept-Îles,50.2001,-66.3821,292.73,86,90,2.68,CA,1627309398
Kholm,59.2667,32.85,299.75,37,78,1.83,RU,1627309441
Mandurah,-32.55,115.7,291.05,80,1,15.56,AU,1627309441
Pangnirtung,66.1451,-65.7125,285.15,87,90,2.06,CA,1627309332
Ekibastuz,51.6667,75.3667,294.63,43,9,7.32,KZ,1627309442
Klaksvík,62.2266,-6.589,285.66,92,100,3.59,FO,1627309442
Oranjemund,-28.55,16.4333,294.95,34,24,4.38,NA,1627309443
Santiago del Estero,-27.7951,-64.2615,288.04,40,0,6.87,AR,1627309444
Itarema,-2.9248,-39.9167,304.11,48,58,7.58,BR,1627309445
Naze,28.3667,129.4833,298.34,86,100,6.39,JP,1627309446
Ishigaki,24.3448,124.1572,301.84,88,98,2.35,JP,1627309449
Hamilton,39.1834,-84.5333,301.5,78,20,0.45,US,1627309449
Nuevitas,21.5453,-77.2644,301.84,72,8,1.59,CU,1627309450
Coquimbo,-29.9533,-71.3436,285.0,71,0,3.09,CL,1627309267
Novouzensk,50.4592,48.1431,300.71,22,11,1.24,RU,1627309451
Bosaso,11.2842,49.1816,304.14,74,90,4.63,SO,1627309451
Kurduvādi,18.0833,75.4333,299.32,70,86,7.74,IN,1627309452
Coyhaique,-45.5752,-72.0662,276.49,75,20,0.0,CL,1627309453
Nakamura,32.9833,132.9333,295.73,95,1,1.46,JP,1627309455
Scottsbluff,41.8666,-103.6672,299.14,66,1,2.57,US,1627309455
Clyde River,70.4692,-68.5914,276.28,100,90,3.09,CA,1627309375
Mount Isa,-20.7333,139.5,282.02,53,3,0.0,AU,1627309455
Mezen',65.8522,44.24,283.77,69,87,5.84,RU,1627309369
Kargasok,59.0556,80.8572,286.78,97,100,7.19,RU,1627309457
Zharkent,44.1628,80.0,307.5,14,0,4.03,KZ,1627309458
Xingyi,24.1877,102.817,289.41,92,9,1.14,CN,1627309459
Sesheke,-17.4759,24.2968,295.99,23,2,3.23,ZM,1627309460
Mandera,3.9366,41.867,305.05,29,90,9.58,KE,1627309460
Porosozero,62.7191,32.727,294.42,57,76,1.84,RU,1627309210
Şırnak,37.5228,42.4594,310.19,12,0,6.88,TR,1627309462
Ballina,-28.8667,153.5667,285.25,65,86,3.05,AU,1627309463
San Quintín,30.4833,-115.95,292.53,86,100,1.71,MX,1627309339
Hualmay,-11.0964,-77.6139,291.48,80,48,4.35,PE,1627309463
Bherāmāra,24.0232,88.9925,302.69,79,100,2.35,BD,1627309464
Mpwapwa,-6.35,36.4833,296.27,33,59,5.07,TZ,1627309464
Savannah Bight,16.45,-85.85,301.18,79,14,3.59,HN,1627309465
Vila Velha,-20.3297,-40.2925,299.12,62,40,3.6,BR,1627309258
Yuci,37.6803,112.7319,299.01,65,40,3.0,CN,1627309465
Gelemso,8.8167,40.5167,289.98,80,98,1.86,ET,1627309466
Kanigoro,-8.13,112.219,294.28,93,60,2.23,ID,1627309466
Obigarm,38.7173,69.7088,306.24,18,18,4.92,TJ,1627309467
Portland,45.5234,-122.6762,290.26,85,75,0.45,US,1627309208
Krasnoural'sk,58.3638,60.0407,289.67,56,71,2.3,RU,1627309468
Bonthe,7.5264,-12.505,299.41,80,77,5.04,SL,1627309469
Bambous Virieux,-20.3428,57.7575,293.29,88,75,3.09,MU,1627309469
Zhangjiakou,40.81,114.8794,294.77,80,100,2.33,CN,1627309185
Taicheng,38.731,113.228,293.86,79,99,1.32,CN,1627309470
Mar del Plata,-38.0023,-57.5575,284.87,51,0,2.24,AR,1627309418
Hofn,64.2539,-15.2082,287.16,72,40,4.12,IS,1627309473
Hanting,36.7708,119.2108,298.69,91,100,3.17,CN,1627309473
Mogadishu,2.0371,45.3438,300.08,65,75,8.23,SO,1627309474
Ixtapa,20.7,-105.2,299.39,83,75,0.0,MX,1627309474
Provost,52.3501,-110.2683,289.4,77,47,2.22,CA,1627309474
Balikpapan,-1.2675,116.8289,299.65,78,0,4.39,ID,1627309475
Bowen,-20.0167,148.2333,285.27,70,44,5.92,AU,1627309475
Port Augusta,-32.5,137.7667,286.23,49,64,4.96,AU,1627309476
Yutsa,43.9564,43.0128,300.76,66,62,4.62,RU,1627309476
Baruun-Urt,46.6806,113.2792,288.97,67,69,3.05,MN,1627309476
Okhotsk,59.3833,143.3,287.78,92,74,1.17,RU,1627309477
Beringovskiy,63.05,179.3167,284.57,95,100,2.37,RU,1627309477
Coolum Beach,-26.5333,153.1,286.52,78,53,1.48,AU,1627309477
Strezhevoy,60.7333,77.5889,285.14,92,100,6.82,RU,1627309478
Yulara,-25.2406,130.9889,283.06,34,24,2.06,AU,1627309479
Ust-Nera,64.5667,143.2,283.97,82,86,1.25,RU,1627309479
Salekhard,66.53,66.6019,288.51,48,66,2.08,RU,1627309480
Lavrentiya,65.5833,-171.0,279.72,99,100,1.45,RU,1627309432
Eyl,7.9803,49.8164,304.21,45,36,11.12,SO,1627309481
Vaitape,-16.5167,-151.75,298.65,76,64,5.15,PF,1627309481
Province of Groningen,53.25,6.75,298.3,61,55,5.66,NL,1627309445
Bajil,15.0584,43.2851,304.45,61,100,6.33,YE,1627309482
Russell,32.3502,-85.1999,303.18,79,0,0.37,US,1627309482
Nuuk,64.1835,-51.7216,286.49,62,20,2.57,GL,1627309482
Hong Kong,22.2855,114.1577,304.44,85,93,0.45,HK,1627309241
Taltal,-25.4,-70.4833,289.17,61,0,1.89,CL,1627309484
Tilichiki,60.4667,166.1,284.46,99,100,2.78,RU,1627309484
Lüderitz,-26.6481,15.1594,294.58,42,2,3.8,NA,1627309485
Mossamedes,-15.1961,12.1522,297.5,83,75,8.23,AO,1627309485
Sirte,31.2089,16.5887,302.91,49,0,8.51,LY,1627309368
Cherskiy,68.75,161.3,276.48,79,0,4.54,RU,1627309337
San Cristobal,7.7669,-72.225,296.25,63,99,1.84,VE,1627309485
Port-Cartier,50.0334,-66.8654,292.55,75,99,1.45,CA,1627309486
Santa Maria,-29.6842,-53.8069,290.76,94,75,2.06,BR,1627309422
Saldanha,-33.0117,17.9442,298.18,54,3,5.93,ZA,1627309486
Dzaoudzi,-12.7887,45.2699,298.09,65,40,6.69,YT,1627309486
Kieta,-6.2167,155.6333,299.06,83,9,1.49,PG,1627309487
Leningradskiy,69.3833,178.4167,275.89,91,99,0.93,RU,1627309487
Ténenkou,14.4572,-4.9169,309.94,35,37,4.15,ML,1627309487
Anadyr,64.75,177.4833,284.43,87,75,1.79,RU,1627309489
Dunedin,-45.8742,170.5036,282.48,75,100,10.28,NZ,1627309490
Gijang,35.2442,129.2139,300.0,83,0,2.84,KR,1627309491
Salé,34.0389,-6.8166,301.28,65,40,4.12,MA,1627309341
Gejiu,23.306,103.1635,286.8,93,42,0.36,CN,1627309493
Sheridan,44.8333,-106.9173,302.25,43,1,1.54,US,1627309493
Guaratuba,-25.8828,-48.5747,304.15,50,4,2.11,BR,1627309495
Nago,26.5881,127.9761,301.39,91,98,5.42,JP,1627309496
Yurginskoye,56.8189,67.3921,288.3,60,71,2.15,RU,1627309496
Brus,43.3836,21.0336,305.66,33,96,1.9,RS,1627309497
Bubaque,11.2833,-15.8333,300.2,77,97,3.08,GW,1627309497
Mozelos,41.8677,-8.3978,302.75,29,0,2.78,PT,1627309498
Alice Springs,-23.7,133.8833,289.9,23,94,5.14,AU,1627309496
Provideniya,64.3833,-173.3,282.26,97,100,1.22,RU,1627309498
Porto-Novo,6.4965,2.6036,301.05,61,91,5.86,BJ,1627309498
Hellín,38.5106,-1.701,301.03,32,63,1.46,ES,1627309499
Makakilo City,21.3469,-158.0858,298.33,71,1,2.06,US,1627309499
Abnūb,27.2696,31.1511,310.64,16,0,5.29,EG,1627309499
Ruska Poliana,49.417,31.9201,299.1,48,65,3.03,UA,1627309499
Mount Gambier,-37.8333,140.7667,283.35,88,100,4.33,AU,1627309413
Natal,-5.795,-35.2094,301.27,74,75,9.26,BR,1627309504
Paita,-5.0892,-81.1144,294.46,78,39,5.2,PE,1627309505
Ancud,-41.8697,-73.8203,278.89,71,44,2.92,CL,1627309505
Crestview,30.7621,-86.5705,304.35,76,1,2.24,US,1627309506
Addanki,15.8167,79.9833,306.39,46,67,3.69,IN,1627309506
Pemangkat,1.1667,108.9667,300.66,82,48,4.38,ID,1627309507
San Antonio,29.4241,-98.4936,302.2,79,40,2.06,US,1627309507
Nāyudupet,13.9,79.9,307.64,44,100,1.69,IN,1627309507
Piopio,-38.4667,175.0167,283.68,95,100,3.03,NZ,1627309508
Hobyo,5.3505,48.5268,299.31,69,83,14.07,SO,1627309508
Ketchikan,55.3422,-131.6461,285.41,94,75,0.0,US,1627309510
Touros,-5.1989,-35.4608,299.65,61,25,8.45,BR,1627309510
Bantry,51.6833,-9.45,292.86,85,100,5.32,IE,1627309511
Rio Grande,-32.035,-52.0986,288.21,95,100,3.11,BR,1627309512
Puerto Carreño,6.189,-67.4859,296.36,94,100,4.16,CO,1627309513
Camaná,-16.6228,-72.7111,290.48,76,51,3.69,PE,1627309516
Mbaïki,3.8678,17.9892,304.95,41,99,1.27,CF,1627309517
Kruisfontein,-34.0033,24.7314,294.75,22,100,7.88,ZA,1627309518
Zyryanka,65.75,150.85,281.74,56,6,3.81,RU,1627309308
Petropavlovsk-Kamchatskiy,53.0452,158.6483,293.48,83,20,2.0,RU,1627309519
Saravena,6.9538,-71.8752,299.92,74,88,0.98,CO,1627309519
Tasiilaq,65.6145,-37.6368,283.24,82,2,0.89,GL,1627309520
Ukiah,39.1502,-123.2078,296.29,70,1,2.57,US,1627309520
Kamina,-8.7386,24.9906,298.03,21,100,3.72,CD,1627309520
Kisanga,-7.4362,37.7034,301.69,31,61,2.15,TZ,1627309521
Kumul,42.8,93.45,307.69,13,86,8.77,CN,1627309521
Coxim,-18.5067,-54.76,305.31,20,0,4.02,BR,1627309522
Lata,40.1629,-8.3327,301.68,31,0,4.53,PT,1627309523
Vicuña,-30.0319,-70.7081,281.0,46,0,1.26,CL,1627309524
Namatanai,-3.6667,152.4333,298.84,81,33,0.57,PG,1627309526
Tabuleiro do Norte,-5.2467,-38.1306,304.56,42,67,5.93,BR,1627309526
Half Moon Bay,37.4636,-122.4286,290.25,89,90,0.45,US,1627309529
Libreville,0.3925,9.4537,301.16,74,20,4.12,GA,1627309531
Calama,-22.4667,-68.9333,287.42,19,0,5.14,CL,1627309532
Along,28.1667,94.7667,298.64,98,100,0.17,IN,1627309533
Nabire,-3.3667,135.4833,298.23,87,89,1.05,ID,1627309301
Ambovombe,-25.1667,46.0833,291.41,67,38,8.14,MG,1627309534
Vao,-22.6667,167.4833,293.8,59,47,6.48,NC,1627309535
Kangaatsiaq,68.3065,-53.4641,279.85,79,100,4.14,GL,1627309536
Quatre Cocos,-20.2078,57.7625,293.21,75,28,5.67,MU,1627309537
Caravelas,-17.7125,-39.2481,299.09,55,2,2.41,BR,1627309537
Nur-Sultan,51.1801,71.446,296.12,40,0,6.0,KZ,1627309288
Teya,60.3778,92.6267,296.57,57,7,1.9,RU,1627309539
Barpāli,21.2,83.5833,302.1,68,100,5.33,IN,1627309540
Capoterra,39.1763,8.9718,304.99,65,0,3.6,IT,1627309540
Vostok,46.4856,135.8833,295.81,84,99,1.42,RU,1627309544
Khatanga,71.9667,102.5,291.57,58,71,4.66,RU,1627309454
Kota Kinabalu,5.9749,116.0724,301.14,74,20,2.06,MY,1627309546
Chernoyerkovskaya,45.4331,37.7686,296.43,27,100,8.29,RU,1627309547
Yumen,40.2833,97.2,300.58,21,100,2.77,CN,1627309548
Aksu,41.1231,80.2644,307.27,21,0,0.69,CN,1627309548
Hambantota,6.1241,81.1185,300.34,89,95,4.12,LK,1627309549
Lagoa,39.05,-27.9833,294.01,84,88,3.83,PT,1627309329
Mehamn,71.0357,27.8492,281.25,77,51,2.85,NO,1627309551
Tailai,46.3833,123.4,293.68,98,100,3.37,CN,1627309551
Lorengau,-2.0226,147.2712,300.54,75,15,1.85,PG,1627309552
Blackwater,-23.5833,148.8833,285.83,41,0,3.06,AU,1627309553
Evans,33.5337,-82.1307,303.28,65,1,0.45,US,1627309348
Mandalgovi,45.7625,106.2708,291.45,65,89,2.03,MN,1627309553
Grand-Santi,4.25,-54.3833,303.13,59,19,1.8,GF,1627309553
Soe,-9.8607,124.284,290.06,91,56,2.37,ID,1627309554
Iqaluit,63.7506,-68.5145,283.0,87,75,4.02,CA,1627309387
Tiksi,71.6872,128.8694,277.82,97,100,5.55,RU,1627309554
Husavik,66.0449,-17.3389,291.1,51,81,1.86,IS,1627309555
Arkhipo-Osipovka,44.37,38.52,303.05,54,20,2.93,RU,1627309555
Kahului,20.8947,-156.47,298.62,87,1,6.69,US,1627309410
Tessalit,20.1986,1.0114,313.45,19,24,3.7,ML,1627309557
Codrington,-38.2667,141.9667,283.37,88,100,6.86,AU,1627309557
Okha,53.5739,142.9478,290.23,99,100,2.47,RU,1627309557
Baykit,61.67,96.37,297.77,54,10,2.74,RU,1627309558
Egvekinot,66.3167,-179.1667,279.78,96,100,1.59,RU,1627309559
Nehe,48.4833,124.8333,292.83,98,99,2.52,CN,1627309559
Jacqueville,5.2052,-4.4146,301.1,75,59,5.74,CI,1627309560
Mutoko,-17.397,32.2268,288.68,49,30,5.66,ZW,1627309561
Kukushtan,57.6464,56.4952,292.94,60,86,3.05,RU,1627309561
Magnitogorsk,53.4186,59.0472,294.61,32,40,6.0,RU,1627309561
Port Hueneme,34.1478,-119.1951,296.62,88,75,2.57,US,1627309371
Narsaq,60.9167,-46.05,289.27,41,86,1.09,GL,1627309562
Tanout,14.9709,8.8879,306.98,40,73,3.74,NE,1627309563
Darłowo,54.421,16.4107,297.94,63,96,4.15,PL,1627309565
Sørland,67.667,12.6934,288.19,87,90,0.51,NO,1627309566
Salalah,17.0151,54.0924,300.2,83,75,4.63,OM,1627309567
Bilma,18.6853,12.9164,307.6,37,99,4.12,NE,1627309568
Khovd,48.0056,91.6419,291.65,64,100,2.78,MN,1627309569
Xam Nua,20.4197,104.0439,293.52,99,83,1.0,LA,1627309571
Weligama,5.9667,80.4167,299.45,86,46,4.88,LK,1627309572
Alofi,-19.0595,-169.9187,293.09,100,48,2.06,NU,1627309456
La Spezia,44.1105,9.8434,307.03,76,20,1.79,IT,1627309572
Gombong,-7.6072,109.5142,298.06,85,48,1.77,ID,1627309573
Dudinka,69.4058,86.1778,289.59,67,89,4.78,RU,1627309573
Kungurtug,50.5994,97.5228,286.28,90,71,0.63,RU,1627309573
Fort Nelson,58.8053,-122.7002,286.92,88,40,2.06,CA,1627309574
Ilulissat,69.2167,-51.1,283.16,57,75,3.6,GL,1627309575
Waingapu,-9.6567,120.2641,296.52,81,3,1.34,ID,1627309576
Flinders,-34.5833,150.8552,287.8,66,100,1.79,AU,1627309437
Três Lagoas,-20.7511,-51.6783,302.33,24,0,4.93,BR,1627309577
Beidao,34.5686,105.8933,291.71,91,100,0.71,CN,1627309578
Laguna,38.421,-121.4238,297.84,69,1,0.45,US,1627309578
Arequipa,-16.3989,-71.535,293.19,14,0,7.72,PE,1627309560
Channel-Port aux Basques,47.5702,-59.1367,289.39,88,80,5.39,CA,1627309579
Vestmannaeyjar,63.4427,-20.2734,283.7,93,75,5.14,IS,1627309581
Gisborne,-38.6533,178.0042,283.68,90,100,3.29,NZ,1627309340
Ryōtsu-minato,38.0833,138.4333,298.79,84,100,4.02,JP,1627309582
Wilmington,34.2257,-77.9447,301.4,94,90,1.54,US,1627309584
Rafai,4.95,23.9167,301.67,55,100,2.62,CF,1627309584
Topolobampo,25.6,-109.05,302.65,69,97,1.42,MX,1627309585
Contramaestre,20.2978,-76.2414,301.86,71,50,1.34,CU,1627309586
Arman',59.7,150.1667,285.47,98,100,1.75,RU,1627309587
Jumla,29.2747,82.1838,292.37,99,100,1.24,NP,1627309587
Jaicós,-7.3592,-41.1378,303.78,37,29,5.17,BR,1627309587
Imbituva,-25.23,-50.6044,294.26,39,4,2.42,BR,1627309588
Port Hardy,50.6996,-127.4199,287.25,94,90,1.03,CA,1627309589
Mackay,-21.15,149.2,287.62,93,41,2.57,AU,1627309590
